
AL011851,28.0,94.8
AL011851,28.0,95.4
AL011851,28.0,96.0
AL011851,28.1,96.5
AL011851,28.2,96.8
AL011851,28.2,97.0
AL011851,28.3,97.6
AL011851,28.4,98.3
AL011851,28.6,98.9
AL011851,29.0,99.4
AL011851,29.5,99.8
AL011851,30.0,100.0
AL011851,30.5,100.1
AL011851,31.0,100.2
AL021851,22.2,97.6
AL031851,12.0,60.0
AL041851,13.4,48.0
AL041851,13.7,49.5
AL041851,14.0,51.0
AL041851,14.4,52.8
AL041851,14.9,54.6
AL041851,15.4,56.5
AL041851,15.9,58.5
AL041851,16.1,60.4
AL041851,16.6,62.5
AL041851,16.9,64.1
AL041851,17.2,66.0
AL041851,17.6,67.6
AL041851,18.0,69.3
AL041851,18.4,71.1
AL041851,18.9,72.6
AL041851,19.4,74.3
AL041851,19.9,75.9
AL041851,20.5,77.6
AL041851,21.2,79.0
AL041851,21.9,80.4
AL041851,22.6,81.4
AL041851,23.2,82.5
AL041851,23.9,83.6
AL041851,24.4,84.3
AL041851,25.0,84.9
AL041851,25.6,85.5
AL041851,26.2,86.0
AL041851,26.8,86.3
AL041851,27.4,86.5
AL041851,28.0,86.6
AL041851,28.5,86.6
AL041851,29.6,86.1
AL041851,30.1,85.7
AL041851,30.7,85.1
AL041851,31.6,84.1
AL041851,32.5,83.0
AL041851,33.4,81.4
AL041851,34.0,80.0
AL041851,34.8,78.6
AL041851,35.8,77.0
AL041851,36.8,75.1
AL041851,37.8,73.6
AL041851,38.9,71.8
AL041851,40.0,70.0
AL041851,41.3,66.8
AL041851,42.8,63.3
AL041851,44.5,60.2
AL041851,46.4,57.2
AL041851,48.5,54.2
AL051851,32.5,73.5
AL051851,32.5,73.5
AL051851,32.5,73.5
AL051851,32.5,73.5
AL051851,32.5,73.5
AL051851,32.5,73.5
AL051851,32.5,73.5
AL051851,32.5,73.5
AL051851,32.5,73.5
AL051851,32.5,73.5
AL051851,32.5,73.5
AL051851,32.5,73.5
AL051851,32.5,73.5
AL051851,32.5,73.5
AL051851,32.5,73.5
AL051851,32.5,73.5
AL061851,28.7,78.0
AL061851,29.1,77.8
AL061851,29.5,77.5
AL061851,30.1,77.1
AL061851,30.7,76.6
AL061851,31.2,76.3
AL061851,31.6,75.9
AL061851,32.0,75.5
AL061851,32.7,74.9
AL061851,33.3,74.3
AL061851,34.0,73.8
AL061851,35.3,73.0
AL061851,37.0,72.6
AL061851,38.5,72.1
AL061851,40.2,71.8
AL061851,41.1,71.7
AL061851,42.0,71.6
AL011852,20.5,67.1
AL011852,20.7,68.0
AL011852,20.9,68.8
AL011852,21.1,69.6
AL011852,21.2,70.6
AL011852,21.5,71.9
AL011852,21.7,73.0
AL011852,21.9,74.0
AL011852,22.1,74.9
AL011852,22.2,76.1
AL011852,22.6,77.1
AL011852,22.9,78.1
AL011852,23.2,79.3
AL011852,23.5,80.1
AL011852,23.8,81.1
AL011852,24.2,82.1
AL011852,24.7,83.1
AL011852,25.2,83.9
AL011852,25.7,84.6
AL011852,26.2,85.3
AL011852,26.7,86.0
AL011852,27.2,86.6
AL011852,27.7,87.1
AL011852,28.2,87.5
AL011852,28.6,87.8
AL011852,28.8,88.0
AL011852,29.1,88.2
AL011852,29.4,88.4
AL011852,29.8,88.6
AL011852,30.2,88.6
AL011852,30.6,88.5
AL011852,31.2,88.1
AL011852,31.8,87.4
AL011852,32.3,86.3
AL011852,32.8,84.8
AL011852,33.2,82.8
AL011852,33.5,80.5
AL011852,33.8,78.2
AL011852,34.0,76.0
AL011852,34.4,74.2
AL011852,35.2,72.8
AL011852,36.4,71.8
AL011852,38.0,70.8
AL011852,39.6,69.6
AL011852,41.0,68.0
AL021852,17.0,64.1
AL021852,17.4,65.1
AL021852,17.7,66.1
AL021852,18.2,67.1
AL021852,18.6,68.8
AL021852,19.2,70.1
AL021852,19.5,71.4
AL021852,19.7,72.5
AL031852,26.4,90.4
AL031852,26.5,89.6
AL031852,26.6,88.8
AL031852,26.6,88.1
AL031852,26.8,87.4
AL031852,26.9,86.6
AL031852,27.1,86.1
AL031852,27.3,85.6
AL031852,27.5,85.1
AL031852,27.7,84.6
AL031852,27.8,84.0
AL031852,27.9,83.4
AL031852,28.0,82.8
AL031852,28.1,82.2
AL031852,28.2,81.5
AL031852,28.5,80.5
AL031852,29.2,79.0
AL031852,30.4,77.0
AL031852,32.0,74.5
AL031852,34.0,71.5
AL041852,16.1,58.5
AL041852,16.4,59.1
AL041852,16.7,59.7
AL041852,17.0,60.3
AL041852,17.4,61.2
AL041852,17.7,62.2
AL041852,18.1,63.1
AL041852,18.4,63.7
AL041852,18.7,64.3
AL041852,18.9,65.0
AL041852,19.1,65.8
AL041852,19.2,66.6
AL041852,19.5,67.4
AL041852,19.7,68.1
AL041852,19.9,68.8
AL041852,20.0,69.6
AL041852,20.1,70.3
AL041852,20.4,70.9
AL041852,20.7,71.6
AL041852,21.0,72.1
AL041852,21.4,73.0
AL041852,21.9,73.6
AL041852,22.5,74.0
AL041852,23.2,74.4
AL041852,23.9,74.6
AL041852,24.6,74.6
AL041852,25.4,74.5
AL041852,26.5,74.0
AL041852,27.4,73.5
AL041852,28.2,72.9
AL041852,29.0,72.3
AL041852,30.2,71.5
